Key,Text
"LOC_LTP_1","KerbalAlarmClock.KerbalAlarmClock"
"LOC_LTP_2","KerbalAlarmClock.KACAlarm"
"LOC_LTP_3","APIReady"
"LOC_LTP_4","alarms"
"LOC_LTP_5","onAlarmStateChanged"
"LOC_LTP_6","CreateAlarm"
"LOC_LTP_7","DeleteAlarm"
"LOC_LTP_8","DrawAlarmActionChoiceAPI"
"LOC_LTP_9","VesselID"
"LOC_LTP_10","ID"
"LOC_LTP_11","Name"
"LOC_LTP_12","Notes"
"LOC_LTP_13","TypeOfAlarm"
"LOC_LTP_14","AlarmTimeUT"
"LOC_LTP_15","AlarmMarginSecs"
"LOC_LTP_16","AlarmAction"
"LOC_LTP_17","Remaining"
"LOC_LTP_18","XferOriginBodyName"
"LOC_LTP_19","XferTargetBodyName"
"LOC_LTP_20","RepeatAlarm"
"LOC_LTP_21","RepeatAlarmPeriodUT"
"LOC_LTP_22","At least one value is required for Max."
"LOC_LTP_23","At least one value is required for Min."
"LOC_LTP_24","Lunar Transfer"
"LOC_LTP_25","Additional Settings"
"LOC_LTP_26","Specify Manual Orbit"
"LOC_LTP_27","gearWhite"
"LOC_LTP_28","gearGreen"
"LOC_LTP_29","resetWhite"
"LOC_LTP_30","resetGreen"
"LOC_LTP_31","KSC"
"LOC_LTP_32","inclination"
"LOC_LTP_33","[LunarTransferPlanner] Invalid orbit passed to GetTargetInclination."
"LOC_LTP_34","targetManualWindowCache"
"LOC_LTP_35","targetAltitudeNaN"
"LOC_LTP_36","This button is currently disabled as the value is at the minimum"
"LOC_LTP_37","This button is currently disabled as the value is at the maximum"
"LOC_LTP_38"," R"
"LOC_LTP_39","\nError: A reset icon is missing!"
"LOC_LTP_40","Phasing angle"
"LOC_LTP_41","Phasing angle between launch location and maneuver in orbit, max of 360°"
"LOC_LTP_42","Time"
"LOC_LTP_43","Switch to phasing time"
"LOC_LTP_44","Angle"
"LOC_LTP_45","Switch to phasing angle"
"LOC_LTP_46","LAN"
"LOC_LTP_47","Longitude of the Ascending Node of the Parking Orbit, max of 360°"
"LOC_LTP_48","AoP"
"LOC_LTP_49","Switch to Argument of Periapsis"
"LOC_LTP_50","Argument of Periapsis of the Parking Orbit (if the position in orbit directly above the launch location was the periapsis), max of 360°\nAdd this to the phasing angle to get the AoP of the maneuver"
"LOC_LTP_51","Switch to Longitude of the Ascending Node"
"LOC_LTP_52","S"
"LOC_LTP_53","\nError: A gear icon is missing!"
"LOC_LTP_54","\nThis button is currently disabled"
"LOC_LTP_55","mainBody"
"LOC_LTP_56","CRITICAL ERROR: No main body found!"
"LOC_LTP_57","errorStateTargets"
"LOC_LTP_58","ERROR: There are no moons or vessels orbiting this planet!"
"LOC_LTP_59","ERROR: There are no vessels orbiting this planet!"
"LOC_LTP_60","If you want to get out of this error, open settings and toggle the ""<i>Target an orbiting Vessel instead of an orbiting Moon</i>"" button."
"LOC_LTP_61","ERROR: There are no moons orbiting this planet!"
"LOC_LTP_62","targetManual"
"LOC_LTP_63","targetVessel"
"LOC_LTP_64","[Manual Target]"
"LOC_LTP_65","displayTargetSelector"
"LOC_LTP_66","Set manual latitude and longitude"
"LOC_LTP_67","latitude"
"LOC_LTP_68","longitude"
"LOC_LTP_69","flightTimeMode"
"LOC_LTP_70","h"
"LOC_LTP_71","Currently using hours\nClick to change flight time unit to minutes"
"LOC_LTP_72","m"
"LOC_LTP_73","Currently using minutes\nClick to change flight time unit to seconds"
"LOC_LTP_74","s"
"LOC_LTP_75","flightTime"
"LOC_LTP_76","<b>!!!</b>"
"LOC_LTP_77","The delta-V is below the minimum possible to reach the target. Try reducing your flight time or increasing your parking altitude."
"LOC_LTP_78","Required ΔV"
"LOC_LTP_79","Required change in velocity for the maneuver in parking orbit"
"LOC_LTP_80","Set parking orbit altitude"
"LOC_LTP_81","Parking Orbit (km)"
"LOC_LTP_82","Planned altitude of the circular parking orbit before the maneuver"
"LOC_LTP_83","parkingAltitude"
"LOC_LTP_84","Az."
"LOC_LTP_85","In."
"LOC_LTP_86","Launch to this azimuth to get into the target parking orbit"
"LOC_LTP_87","Launch to this inclination to get into the target parking orbit (positive = North, negative = South, regardless of latitude sign)"
"LOC_LTP_88","Show Orbit Details"
"LOC_LTP_89","Launch Now"
