Key,Text
"LTP_Attempting_to_Grab_KAC_Ty","Attempting to Grab KAC Types..."
"LTP_KerbalAlarmClock_KerbalAl","KerbalAlarmClock.KerbalAlarmClock"
"LTP_KerbalAlarmClock_KACAlarm","KerbalAlarmClock.KACAlarm"
"LTP_Got_Assembly_Types_grabbi","Got Assembly Types, grabbing Instance"
"LTP_No_APIInstance_found_most","No APIInstance found - most likely you have KAC v2 installed"
"LTP_Failed_grabbing_Instance","Failed grabbing Instance"
"LTP_Got_Instance_Creating_Wra","Got Instance, Creating Wrapper Objects"
"LTP_Getting_APIReady_Object","Getting APIReady Object"
"LTP_APIReady","APIReady"
"LTP_Success","Success: "
"LTP_Getting_Alarms_Object","Getting Alarms Object"
"LTP_alarms","alarms"
"LTP_Getting_Alarm_State_Chang","Getting Alarm State Change Event"
"LTP_onAlarmStateChanged","onAlarmStateChanged"
"LTP_Adding_Handler","Adding Handler"
"LTP_Getting_Create_Method","Getting Create Method"
"LTP_CreateAlarm","CreateAlarm"
"LTP_Getting_Delete_Method","Getting Delete Method"
"LTP_DeleteAlarm","DeleteAlarm"
"LTP_Getting_DrawAlarmAction","Getting DrawAlarmAction"
"LTP_DrawAlarmActionChoiceAPI","DrawAlarmActionChoiceAPI"
"LTP_VesselID","VesselID"
"LTP_ID","ID"
"LTP_Name","Name"
"LTP_Notes","Notes"
"LTP_TypeOfAlarm","TypeOfAlarm"
"LTP_AlarmTimeUT","AlarmTimeUT"
"LTP_AlarmMarginSecs","AlarmMarginSecs"
"LTP_AlarmAction","AlarmAction"
"LTP_Remaining","Remaining"
"LTP_XferOriginBodyName","XferOriginBodyName"
"LTP_XferTargetBodyName","XferTargetBodyName"
"LTP_RepeatAlarm","RepeatAlarm"
"LTP_RepeatAlarmPeriodUT","RepeatAlarmPeriodUT"
"LTP_LunarTransferPlanner","[LunarTransferPlanner]"
"LTP_At_least_one_value_is_req","At least one value is required for Max."
"LTP_At_least_one_value_is_req_DUP1","At least one value is required for Min."
"LTP_LTP","LTP"
"LTP_Lunar_Transfer_Planner","Lunar Transfer Planner"
"LTP_Lunar_Transfer","Lunar Transfer"
"LTP_Additional_Settings","Additional Settings"
"LTP_Specify_Manual_Orbit","Specify Manual Orbit"
"LTP_LunarTransferPlanner_Icon","LunarTransferPlanner/Icons/"
"LTP_gearWhite","gearWhite"
"LTP_gearGreen","gearGreen"
"LTP_resetWhite","resetWhite"
"LTP_resetGreen","resetGreen"
"LTP_LTP_Button","LTP_Button"
"LTP_LunarTransferPlanner_Plug","LunarTransferPlanner/PluginData/ToolbarIcons/button-64"
"LTP_LunarTransferPlanner_Plug_DUP1","LunarTransferPlanner/PluginData/ToolbarIcons/button-24"
"LTP_SETTINGS","SETTINGS"
"LTP_mainRect_xMin","mainRect.xMin"
"LTP_mainRect_yMin","mainRect.yMin"
"LTP_settingsRect_xMin","settingsRect.xMin"
"LTP_settingsRect_yMin","settingsRect.yMin"
"LTP_manualOrbitRect_xMin","manualOrbitRect.xMin"
"LTP_manualOrbitRect_yMin","manualOrbitRect.yMin"
"LTP_isWindowOpen","isWindowOpen"
"LTP_targetName","targetName"
"LTP_targetManual","targetManual"
"LTP_manualEccentricity","manualEccentricity"
"LTP_manualSMA","manualSMA"
"LTP_manualInclination","manualInclination"
"LTP_manualLAN","manualLAN"
"LTP_manualAoP","manualAoP"
"LTP_manualMNA","manualMNA"
"LTP_useRadians","useRadians"
"LTP_useCenterDistance","useCenterDistance"
"LTP_manualTargetMode","manualTargetMode"
"LTP_showManualOrbit","showManualOrbit"
"LTP_targetVessel","targetVessel"
"LTP_showSettings","showSettings"
"LTP_useAltSkin","useAltSkin"
"LTP_tickSpeed","tickSpeed"
"LTP_useHomeSolarDay","useHomeSolarDay"
"LTP_flightTime","flightTime"
"LTP_flightTimeMode","flightTimeMode"
"LTP_parkingAltitude","parkingAltitude"
"LTP_useAltBehavior","useAltBehavior"
"LTP_altBehaviorTimeLimit","altBehaviorTimeLimit"
"LTP_altBehaviorNaN","altBehaviorNaN"
"LTP_maxIterations","maxIterations"
"LTP_displaySeconds","displaySeconds"
"LTP_useVesselPosition","useVesselPosition"
"LTP_requireSurfaceVessel","requireSurfaceVessel"
"LTP_useAltAlarm","useAltAlarm"
"LTP_useKAC","useKAC"
"LTP_latitude","latitude"
"LTP_longitude","longitude"
"LTP_showAzimuth","showAzimuth"
"LTP_expandExtraWindow","expandExtraWindow"
"LTP_referenceTimeButton","referenceTimeButton"
"LTP_extraWindowNumber","extraWindowNumber"
"LTP_useWindowOptimizer","useWindowOptimizer"
"LTP_expandLatLong","expandLatLong"
"LTP_expandAltitude","expandAltitude"
"LTP_expandParking0","expandParking0"
"LTP_expandParking1","expandParking1"
"LTP_expandParking2","expandParking2"
"LTP_maxDeltaVScaled","maxDeltaVScaled"
"LTP_useAngle","useAngle"
"LTP_useLAN","useLAN"
"LTP_maxWindows","maxWindows"
"LTP_warpMargin","warpMargin"
"LTP_specialWarpSelected","specialWarpSelected"
"LTP_displayParking","displayParking"
"LTP_displayTransfer","displayTransfer"
"LTP_displayManual","displayManual"
"LTP_displayPhasing","displayPhasing"
"LTP_targetLaunchAzimuth","targetLaunchAzimuth"
"LTP_targetPhasingAngle","targetPhasingAngle"
"LTP_COLORS","COLORS"
"LTP_parkingColor","parkingColor"
"LTP_transferColor","transferColor"
"LTP_manualColor","manualColor"
"LTP_startLineColor","startLineColor"
"LTP_endLineColor","endLineColor"
"LTP_arcLineColor","arcLineColor"
"LTP_Changes_the_maximum_amoun","Changes the maximum amount of windows that can be calculated with the extra window chooser (or considered in the phasing angle/time optimizer), default of 100. Each launch window is temporarily cached, so caching a ridiculous amount may lead to performance degradation"
"LTP_Max_time_limit_for_the_gl","Max time limit for the global minimum search in sidereal days of the main body, default of 30. Increase this if you're getting close local minimums instead of absolute global minimums"
"LTP_Return_a_NaN_when_a_globa","Return a NaN when a global minimum cannot be found within the time limit, instead of returning the best local minimum"
"LTP_Max_amount_of_delta_V_tha","Max amount of delta-V that can be calculated, scaled based on the length of a sidereal day for the main body, default of 100000 (the Moon is about 3100). Increase if you're getting NaN for delta-V and the error messages say you need to increase the delta-V"
"LTP_Target_Inclination_is_con","Target Inclination is converted to and from Target Azimuth automatically"
